FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,WL,ENVT,MSMOOTH,KSMOOTH,LEFT_CHANNEL,RIGHT_CHANNEL
P2020-12-18-12-24-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.786316868841264,NA
P2020-12-19-15-06-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.756907934900996,NA
P2020-12-23-12-24-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.571665249806623,NA
P2020-12-24-05-54-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.71996972786304,NA
P2020-12-26-07-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.737816687287791,NA
P2020-12-27-05-18-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.755306458211906,NA
P2020-12-27-15-06-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.781443694474355,NA
P2020-12-27-16-06-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.666357104170274,NA
P2020-12-30-05-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.672366677258773,NA
P2021-01-07-06-54-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.77485854007154,NA
P2021-01-11-18-18-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.723270428496901,NA
P2021-01-13-05-42-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.627966972006861,NA
P2021-01-14-16-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.668315440669109,NA
P2021-01-16-06-54-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.793592634940776,NA
P2021-01-18-11-42-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.709348573050998,NA
P2021-01-18-15-30-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.701257744463975,NA
P2021-01-20-05-30-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.538465049160927,NA
P2021-01-20-14-54-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.60618779936563,NA
P2021-01-22-18-54-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.566353748515397,NA
P2021-01-26-13-30-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.579836163000666,NA
P2021-01-28-05-54-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.665974686634322,NA
P2021-01-28-09-18-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.785432904277878,NA
P2021-01-28-14-30-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.661624291786505,NA
P2021-01-30-07-00-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.674483944969503,NA
P2021-01-30-14-12-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.619774038039092,NA
P2021-01-31-07-42-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.737201844566367,NA
P2021-02-02-08-54-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.653839009835644,NA
P2021-02-02-13-30-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.604890805153523,NA
P2021-02-03-10-00-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.734699194689574,NA
P2021-02-03-13-30-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.66525179753222,NA
P2021-02-04-09-18-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.687099026617588,NA
P2021-02-05-09-30-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.563225257164812,NA
P2021-02-05-17-54-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.651826213576558,NA
P2021-02-18-11-54-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.604547050683236,NA
P2021-02-20-09-30-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.564330968328291,NA
P2021-02-23-15-48-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.618956586273639,NA
P2021-02-24-14-06-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.529750640479923,NA
P2021-02-25-10-54-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.610480996480038,NA
P2021-02-25-18-42-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.682473411302102,NA
P2021-02-26-17-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.655459476310802,NA
P2021-02-27-06-30-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.707226357982113,NA
P2021-03-01-06-36-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.728793441747609,NA
P2021-03-02-10-00-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.589280101827957,NA
P2021-03-03-08-36-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.732552383168304,NA
P2021-03-03-15-48-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.556821492552963,NA
P2021-03-05-14-24-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.499266020269374,NA
P2021-03-05-18-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.586056949414335,NA
P2021-03-06-09-06-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.673690832843224,NA
P2021-03-07-16-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.551475807681952,NA
P2021-03-16-14-24-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.545582319525111,NA
P2021-03-20-13-30-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.600187495912169,NA
P2021-03-20-18-48-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.583133838649781,NA
P2021-03-22-14-24-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.594873752233719,NA
P2021-03-23-06-00-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.711648432937312,NA
P2021-03-28-17-30-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.672222739595754,NA
P2021-04-01-12-24-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.537503136344409,NA
P2021-04-01-18-18-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.645160275536531,NA
P2021-04-02-05-12-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.684090381374982,NA
P2021-04-02-12-00-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.581695464689363,NA
P2021-04-02-14-06-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.530248977609416,NA
P2021-04-07-08-24-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.660766629714322,NA
P2021-04-08-09-42-CSLIB.wav,44100,16,299.94,1,H,512,hil,NULL,NULL,0.659286296907444,NA
P2021-04-09-05-00-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.596737641614381,NA
P2021-04-10-08-24-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.603121882327265,NA
P2021-04-15-13-00-CSLIB.wav,44100,16,299.95,1,H,512,hil,NULL,NULL,0.600225267226906,NA